,Time_stamp [s],id_drone,T_amb [°C],T-right,T-left,wind speed [m/s],wind angle[°],position_x [m],position_y [m],UAV speed [m/s],battery level [%],waypoint distance [m],distance from GS [m],bitrate [Mbps]
0,0.0,1.0,1.0,-9.0,1.0,10.0,-180.0,0.0,0.0,4.03885807160571,100.0,235.48929911993878,0.0,0.1
1,0.0,2.0,1.0,-9.0,1.0,10.0,-180.0,0.0,0.0,3.163264115835398,100.0,494.16484091849344,0.0,0.1
2,0.0,3.0,1.0,-9.0,1.0,10.0,-180.0,0.0,0.0,3.060988883212495,100.0,788.4708301516297,0.0,0.1
3,0.0,4.0,1.0,-9.0,1.0,10.0,-180.0,0.0,0.0,3.0314473345291746,100.0,1089.9161848509268,0.0,0.1
4,0.0,5.0,1.0,-9.0,1.0,10.0,-180.0,0.0,0.0,3.019107574517097,100.0,1393.8766121863152,0.0,0.1
5,0.0,6.0,1.0,-9.0,1.0,10.0,-180.0,0.0,0.0,5.995088030320987,100.0,557.0935379269805,0.0,0.1
6,0.0,7.0,1.0,-9.0,1.0,10.0,-180.0,0.0,0.0,4.03885807160571,100.0,706.4678973598163,0.0,0.1
7,0.0,8.0,1.0,-9.0,1.0,10.0,-180.0,0.0,0.0,3.471343683319853,100.0,936.2607809793167,0.0,0.1
8,0.0,9.0,1.0,-9.0,1.0,10.0,-180.0,0.0,0.0,3.2604185818770413,100.0,1201.1724647193673,0.0,0.1
9,0.0,10.0,1.0,-9.0,1.0,10.0,-180.0,0.0,0.0,3.163264115835398,100.0,1482.4945227554804,0.0,0.1
10,6.0,1.0,1.0,-9.0,1.0,10.0,-180.0,12.525222470050979,14.555678456406897,4.03885807160571,67.1098112832578,216.2864614845637,28.804256453062628,0.1
11,6.0,2.0,1.0,-9.0,1.0,10.0,-180.0,14.024355117941427,5.43261152029632,3.163264115835398,67.1098112832578,479.1250335924475,22.559710989068964,0.1
12,6.0,3.0,1.0,-9.0,1.0,10.0,-180.0,14.175688429409293,3.294740084179113,3.060988883212495,67.1098112832578,773.9172926205005,21.830306296693742,0.1
13,6.0,4.0,1.0,-9.0,1.0,10.0,-180.0,14.218474368875002,2.3604889088952645,3.0314473345291746,67.1098112832578,1075.5031032488762,21.619622403076082,0.1
14,6.0,5.0,1.0,-9.0,1.0,10.0,-180.0,14.236223567202492,1.8382276524491066,3.019107574517097,67.1098112832578,1379.5222002388477,21.53161792120138,0.1
15,6.0,6.0,1.0,-9.0,1.0,10.0,-180.0,7.8589672188475035,27.398938448521072,5.995088030320987,67.1098112832578,528.5897628462518,42.75566262109293,0.1
16,6.0,7.0,1.0,-9.0,1.0,10.0,-180.0,12.525222470050979,14.555678456406897,4.03885807160571,67.1098112832578,687.2650597244412,28.804256453062628,0.1
17,6.0,8.0,1.0,-9.0,1.0,10.0,-180.0,13.538446084532376,9.439893070660274,3.471343683319853,67.1098112832578,919.7562027184435,24.756867391309875,0.1
18,6.0,9.0,1.0,-9.0,1.0,10.0,-180.0,13.875992778807516,6.910894841007653,3.2604185818770413,67.1098112832578,1185.6707343933363,23.252595489046275,0.1
19,6.0,10.0,1.0,-9.0,1.0,10.0,-180.0,14.024355117941427,5.43261152029632,3.163264115835398,67.1098112832578,1467.4547154294344,22.559710989068964,0.1
20,9.0,1.0,1.0,-9.0,1.0,10.0,-180.0,19.77794667952081,22.984137254521247,4.03885807160571,66.40133141277076,205.16706733874167,45.483347671795656,0.1
21,9.0,2.0,1.0,-9.0,1.0,10.0,-180.0,22.145151385577055,8.578362678657781,3.163264115835398,66.40133141277076,470.4162401989413,35.622901079328265,0.1
22,9.0,3.0,1.0,-9.0,1.0,10.0,-180.0,22.38411418022629,5.202557787982284,3.060988883212495,66.40133141277076,765.4900735241662,34.471134941195096,0.1
23,9.0,4.0,1.0,-9.0,1.0,10.0,-180.0,22.45167529791577,3.7273289068805497,3.0314473345291746,66.40133141277076,1067.1572150925413,34.13845463757834,0.1
24,9.0,5.0,1.0,-9.0,1.0,10.0,-180.0,22.479702161228158,2.90265251430789,3.019107574517097,66.40133141277076,1371.2102847185417,33.99949120166026,0.1
25,9.0,6.0,1.0,-9.0,1.0,10.0,-180.0,12.409698508918801,43.26428093441417,5.995088030320987,66.40133141277076,512.0846652255433,67.51330905215573,0.1
26,9.0,7.0,1.0,-9.0,1.0,10.0,-180.0,19.77794667952081,22.984137254521247,4.03885807160571,66.40133141277076,676.1456655786193,45.483347671795656,0.1
27,9.0,8.0,1.0,-9.0,1.0,10.0,-180.0,21.37787695377828,14.90605873534931,3.471343683319853,66.40133141277076,910.1992344006394,39.09231986801599,0.1
28,9.0,9.0,1.0,-9.0,1.0,10.0,-180.0,21.91087990340134,10.912645264389344,3.2604185818770413,66.40133141277076,1176.6944647028693,36.717000024746994,0.1
29,9.0,10.0,1.0,-9.0,1.0,10.0,-180.0,22.145151385577055,8.578362678657781,3.163264115835398,66.40133141277076,1458.7459220359283,35.622901079328265,0.1
30,12.0,1.0,1.0,-9.0,1.0,10.0,-180.0,22.41232795339208,26.045576430211494,4.03885807160571,66.14399278388855,201.12820926713596,51.54163477920422,0.1
